loop: Initializing
Connecting to 60_C0_BF_2F_6E_A0
Connected to 60_C0_BF_2F_6E_A0
Device: /org/bluez/hci0/dev_60_C0_BF_2F_6E_A0. /org/bluez/hci0/dev_60_C0_BF_2F_6E_A0/service0021
Size: 2
Sent
Size: 17
Data (uint8): 1 0 98 3 34 51 68 85 102 119 1 0 0 0 0 2 0 
Data (hex): 1 0 62 3 22 33 44 55 66 77 1 0 0 0 0 2 0 
Version: 1
Device Capabilities(side): 0
Device Capabilities(type): 0
HiSync ID: 144115188075951974
Feature map: 0
Render delay: 25089
Reserved: 0
Supported Codecs: 0
Sent
Done.
L2CAP: Created socket 60_C0_BF_2F_6E_A0:168
L2CAP socket bound
Setting sockopts
Set recv mtu
Unable to set send mtu. Operation not permitted (1)
L2CAP: Connected to 60:C0:BF:2F:6E:A0:168
socket: 5
Writing to /org/bluez/hci0/dev_60_C0_BF_2F_6E_A0/service0021/char0025
AudioControlPoint Written
     0 | 1337570387776 | Wrote 161 bytes
sleep(19823 μs) |     80 | 1339170521474 | Wrote 161 bytes
sleep(19837 μs) |     81 | 1339190535800 | Wrote 161 bytes
sleep(19822 μs) |     82 | 1339210522507 | Wrote 161 bytes
sleep(19836 μs) |     83 | 1339230447378 | Wrote 161 bytes
sleep(19913 μs) |     84 | 1339250542838 | Wrote 161 bytes
sleep(19819 μs) |     85 | 1339270497880 | Wrote 161 bytes
sleep(19860 μs) |     86 | 1339290513718 | Wrote 161 bytes
sleep(19842 μs) |     87 | 1339310482982 | Wrote 161 bytes
sleep(19874 μs) |     88 | 1339330484230 | Wrote 161 bytes
sleep(19870 μs) |     89 | 1339350545628 | Wrote 161 bytes
sleep(19811 μs) |     90 | 1339370504487 | Wrote 161 bytes
sleep(19854 μs) |     91 | 1339390486484 | Wrote 161 bytes
sleep(19869 μs) |     92 | 1339410474277 | Wrote 161 bytes
sleep(19885 μs) |     93 | 1339430471059 | Wrote 161 bytes
sleep(19890 μs) |     94 | 1339450535857 | Wrote 161 bytes
sleep(19821 μs) |     95 | 1339470505042 | Wrote 161 bytes
sleep(19853 μs) |     96 | 1339490512814 | Wrote 161 bytes
sleep(19843 μs) |     97 | 1339510524748 | Wrote 161 bytes
sleep(19832 μs) |     98 | 1339530447447 | Wrote 161 bytes
sleep(19910 μs) |     99 | 1339550479830 | Wrote 161 bytes
sleep(19875 μs) |    100 | 1339570519857 | Wrote 161 bytes
sleep(19838 μs) |    101 | 1339590516273 | Wrote 161 bytes
sleep(19841 μs) |    102 | 1339610537676 | Wrote 161 bytes
sleep(19819 μs) |    103 | 1339630506056 | Wrote 161 bytes
sleep(19851 μs) |    104 | 1339650515151 | Wrote 161 bytes
sleep(19840 μs) |    105 | 1339670540104 | Wrote 161 bytes
sleep(19816 μs) |    106 | 1339690520715 | Wrote 161 bytes
sleep(19837 μs) |    107 | 1339710523561 | Wrote 161 bytes
sleep(19833 μs) |    108 | 1339730446915 | Wrote 161 bytes
sleep(19911 μs) |    109 | 1339750488339 | Wrote 161 bytes
sleep(19871 μs) |    110 | 1339770531862 | Wrote 161 bytes
sleep(19824 μs) |    111 | 1339790506029 | Wrote 161 bytes
sleep(19852 μs) |    112 | 1339810515988 | Wrote 161 bytes
sleep(19840 μs) |    113 | 1339830508222 | Wrote 161 bytes
sleep(19848 μs) |    114 | 1339850517223 | Wrote 161 bytes
sleep(19841 μs) |    115 | 1339870522055 | Wrote 161 bytes
sleep(19833 μs) |    116 | 1339890455062 | Wrote 161 bytes
sleep(19902 μs) |    117 | 1339910485292 | Wrote 161 bytes
sleep(19869 μs) |    118 | 1339930476455 | Wrote 161 bytes
sleep(19878 μs) |    119 | 1339950474230 | Wrote 161 bytes
sleep(19886 μs) |    120 | 1339970569800 | Wrote 161 bytes
sleep(19790 μs) |    121 | 1339990538617 | Wrote 161 bytes
sleep(19815 μs) |    122 | 1340010474792 | Wrote 161 bytes
sleep(19882 μs) |    123 | 1340030519504 | Wrote 161 bytes
sleep(19818 μs) |    124 | 1340050511607 | Wrote 161 bytes
sleep(19846 μs) |    125 | 1340070484505 | Wrote 161 bytes
sleep(19868 μs) |    126 | 1340090545835 | Wrote 161 bytes
sleep(19810 μs) |    127 | 1340110515497 | Wrote 161 bytes
sleep(19843 μs) |    128 | 1340130519100 | Wrote 161 bytes
sleep(19838 μs) |    129 | 1340150464661 | Wrote 161 bytes
sleep(19892 μs) |    130 | 1340170480433 | Wrote 161 bytes
sleep(19876 μs) |    131 | 1340190461920 | Wrote 161 bytes
sleep(19895 μs) |    132 | 1340210520231 | Wrote 161 bytes
sleep(19835 μs) |    133 | 1340230486225 | Wrote 161 bytes
sleep(19867 μs) |    134 | 1340250546749 | Wrote 161 bytes
sleep(19810 μs) |    135 | 1340270516283 | Wrote 161 bytes
sleep(19842 μs) |    136 | 1340290547199 | Wrote 161 bytes
sleep(19807 μs) |    137 | 1340310552506 | Wrote 161 bytes
sleep(19805 μs) |    138 | 1340330488403 | Wrote 161 bytes
sleep(19864 μs) |    139 | 1340350535685 | Wrote 161 bytes
sleep(19821 μs) |    140 | 1340370510113 | Wrote 161 bytes
sleep(19848 μs) |    141 | 1340390487884 | Wrote 161 bytes
sleep(19866 μs) |    142 | 1340410519159 | Wrote 161 bytes
sleep(19837 μs) |    143 | 1340440759484 | Wrote 161 bytes
sleep(9600 μs) |    144 | 1340450467832 | Wrote 161 bytes
sleep(19892 μs) |    145 | 1340470588826 | Wrote 161 bytes
sleep(19772 μs) |    146 | 1340490546361 | Wrote 161 bytes
sleep(19815 μs) |    147 | 1340510498050 | Wrote 161 bytes
sleep(19861 μs) |    148 | 1340530506986 | Wrote 161 bytes
sleep(19851 μs) |    149 | 1340550551096 | Wrote 161 bytes
sleep(19805 μs) |    150 | 1340570518317 | Wrote 161 bytes
sleep(19837 μs) |    151 | 1340590493798 | Wrote 161 bytes
sleep(19860 μs) |    152 | 1340610492121 | Wrote 161 bytes
sleep(19864 μs) |    153 | 1340630535433 | Wrote 161 bytes
sleep(19825 μs) |    154 | 1340650518695 | Wrote 161 bytes
sleep(19840 μs) |    155 | 1340670501220 | Wrote 161 bytes
sleep(19858 μs) |    156 | 1340690501736 | Wrote 161 bytes
sleep(19857 μs) |    157 | 1340710468595 | Wrote 161 bytes
sleep(19883 μs) |    158 | 1340730527245 | Wrote 161 bytes
sleep(19828 μs) |    159 | 1340750472079 | Wrote 161 bytes
sleep(19883 μs) |    160 | 1340770531898 | Wrote 161 bytes
sleep(19825 μs) |    161 | 1340790548450 | Wrote 161 bytes
sleep(19808 μs) |    162 | 1340810472420 | Wrote 161 bytes
sleep(19880 μs) |    163 | 1340830492020 | Wrote 161 bytes
sleep(19863 μs) |    164 | 1340850473153 | Wrote 161 bytes
sleep(19881 μs) |    165 | 1340870522935 | Wrote 161 bytes
sleep(19834 μs) |    166 | 1340890533518 | Wrote 161 bytes
sleep(19825 μs) |    167 | 1340910526838 | Wrote 161 bytes
sleep(19829 μs) |    168 | 1340930475254 | Wrote 161 bytes
sleep(19882 μs) |    169 | 1340950457198 | Wrote 161 bytes
sleep(19878 μs) |    170 | 1340970548227 | Wrote 161 bytes
sleep(19813 μs) |    171 | 1340990551093 | Wrote 161 bytes
sleep(19807 μs) |    172 | 1341010537664 | Wrote 161 bytes
sleep(19822 μs) |    173 | 1341030593409 | Wrote 161 bytes
sleep(19767 μs) |    174 | 1341050472566 | Wrote 161 bytes
sleep(19887 μs) |    175 | 1341070507419 | Wrote 161 bytes
sleep(19849 μs) |    176 | 1341090533863 | Wrote 161 bytes
sleep(19824 μs) |    177 | 1341110492330 | Wrote 161 bytes
sleep(19864 μs) |    178 | 1341130528366 | Wrote 161 bytes
sleep(19829 μs) |    179 | 1341150520625 | Wrote 161 bytes
sleep(19836 μs) |    180 | 1341170455431 | Wrote 161 bytes
sleep(19901 μs) |    181 | 1341190532091 | Wrote 161 bytes
sleep(19826 μs) |    182 | 1341210523041 | Wrote 161 bytes
sleep(19833 μs) |    183 | 1341230540652 | Wrote 161 bytes
sleep(19816 μs) |    184 | 1341250507604 | Wrote 161 bytes
sleep(19850 μs) |    185 | 1341270519563 | Wrote 161 bytes
sleep(19835 μs) |    186 | 1341290530279 | Wrote 161 bytes
sleep(19824 μs) |    187 | 1341310500793 | Wrote 161 bytes
sleep(19857 μs) |    188 | 1341330526597 | Wrote 161 bytes
sleep(19829 μs) |    189 | 1341350534783 | Wrote 161 bytes
sleep(19823 μs) |    190 | 1341370461520 | Wrote 161 bytes
sleep(19884 μs) |    191 | 1341390517379 | Wrote 161 bytes
sleep(19840 μs) |    192 | 1341410529056 | Wrote 161 bytes
sleep(19828 μs) |    193 | 1341430557694 | Wrote 161 bytes
sleep(19799 μs) |    194 | 1341450458633 | Wrote 161 bytes
sleep(19896 μs) |    195 | 1341470437898 | Wrote 161 bytes
sleep(19922 μs) |    196 | 1341490532213 | Wrote 161 bytes
sleep(19829 μs) |    197 | 1341520826206 | Wrote 161 bytes
sleep(9528 μs) |    198 | 1341530482671 | Wrote 161 bytes
sleep(19875 μs) |    199 | 1341550525463 | Wrote 161 bytes
sleep(19834 μs) |    200 | 1341570470450 | Wrote 161 bytes
sleep(19890 μs) |    201 | 1341590492225 | Wrote 161 bytes
sleep(19869 μs) |    202 | 1341610555495 | Wrote 161 bytes
sleep(19801 μs) |    203 | 1341630479333 | Wrote 161 bytes
sleep(19875 μs) |    204 | 1341650473097 | Wrote 161 bytes
sleep(19879 μs) |    205 | 1341670524138 | Wrote 161 bytes
sleep(19833 μs) |    206 | 1341690473711 | Wrote 161 bytes
sleep(19880 μs) |    207 | 1341710496955 | Wrote 161 bytes
sleep(19861 μs) |    208 | 1341730529855 | Wrote 161 bytes
sleep(19825 μs) |    209 | 1341750514411 | Wrote 161 bytes
sleep(19842 μs) |    210 | 1341770547221 | Wrote 161 bytes
sleep(19810 μs) |    211 | 1341790513766 | Wrote 161 bytes
sleep(19842 μs) |    212 | 1341810518437 | Wrote 161 bytes
sleep(19839 μs) |    213 | 1341830531379 | Wrote 161 bytes
sleep(19826 μs) |    214 | 1341850526111 | Wrote 161 bytes
sleep(19829 μs) |    215 | 1341870528282 | Wrote 161 bytes
sleep(19827 μs) |    216 | 1341890505074 | Wrote 161 bytes
sleep(19851 μs) |    217 | 1341910536953 | Wrote 161 bytes
sleep(19819 μs) |    218 | 1341930505541 | Wrote 161 bytes
sleep(19853 μs) |    219 | 1341950535444 | Wrote 161 bytes
sleep(19824 μs) |    220 | 1341970518032 | Wrote 161 bytes
sleep(19843 μs) |    221 | 1341990482611 | Wrote 161 bytes
sleep(19875 μs) |    222 | 1342010473783 | Wrote 161 bytes
sleep(19887 μs) |    223 | 1342030542010 | Wrote 161 bytes
sleep(19818 μs) |    224 | 1342050483932 | Wrote 161 bytes
sleep(19875 μs) |    225 | 1342070502607 | Wrote 161 bytes
sleep(19856 μs) |    226 | 1342090514458 | Wrote 161 bytes
sleep(19843 μs) |    227 | 1342110494741 | Wrote 161 bytes
sleep(19862 μs) |    228 | 1342130533292 | Wrote 161 bytes
sleep(19825 μs) |    229 | 1342150454037 | Wrote 161 bytes
sleep(19903 μs) |    230 | 1342170538634 | Wrote 161 bytes
sleep(19818 μs) |    231 | 1342190505686 | Wrote 161 bytes
sleep(19853 μs) |    232 | 1342210514757 | Wrote 161 bytes
sleep(19841 μs) |    233 | 1342230537585 | Wrote 161 bytes
sleep(19820 μs) |    234 | 1342250449802 | Wrote 161 bytes
sleep(19907 μs) |    235 | 1342270485386 | Wrote 161 bytes
sleep(19870 μs) |    236 | 1342290454381 | Wrote 161 bytes
sleep(19902 μs) |    237 | 1342310460304 | Wrote 161 bytes
sleep(19894 μs) |    238 | 1342330541783 | Wrote 161 bytes
sleep(19815 μs) |    239 | 1342350465814 | Wrote 161 bytes
sleep(19892 μs) |    240 | 1342370522038 | Wrote 161 bytes
sleep(19835 μs) |    241 | 1342390537205 | Wrote 161 bytes
sleep(19820 μs) |    242 | 1342410522121 | Wrote 161 bytes
sleep(19833 μs) |    243 | 1342430520731 | Wrote 161 bytes
sleep(19834 μs) |    244 | 1342450484894 | Wrote 161 bytes
sleep(19875 μs) |    245 | 1342470476654 | Wrote 161 bytes
sleep(19884 μs) |    246 | 1342490525016 | Wrote 161 bytes
sleep(19834 μs) |    247 | 1342510493700 | Wrote 161 bytes
sleep(19865 μs) |    248 | 1342530509701 | Wrote 161 bytes
sleep(19844 μs) |    249 | 1342550537593 | Wrote 161 bytes
sleep(19819 μs) |    250 | 1342570538141 | Wrote 161 bytes
sleep(19816 μs) |    251 | 1342600775840 | Wrote 161 bytes
sleep(9581 μs) |    252 | 1342610507346 | Wrote 161 bytes
sleep(19850 μs) |    253 | 1342630486113 | Wrote 161 bytes
sleep(19868 μs) |    254 | 1342650532756 | Wrote 161 bytes
sleep(19825 μs) |    255 | 1342670523604 | Wrote 161 bytes
sleep(19832 μs) |    256 | 1342690519380 | Wrote 161 bytes
sleep(19839 μs) |    257 | 1342710478188 | Wrote 161 bytes
sleep(19881 μs) |    258 | 1342730508931 | Wrote 161 bytes
sleep(19849 μs) |    259 | 1342750531156 | Wrote 161 bytes
